,tpc_num,E_SS,pTo_SS,Th_SS,Eh_SS,E_Arr,p0,AIC_SS,AIC_Arr,AICc_SS,AICc_Arr,LL_SS,LL_Arr,n,LkRatio,X2,p,best_mod,best_mod2,BA_pts,T0,SE_SS,SE_BA
94,157,0.983071564,0.080169832,111.4860393,5.023640573,0.983077378,0.08016925,7.646716622,3.646716615,-32.35328338,15.64671661,0.176641689,0.176641693,4,3.71E-09,-7.42E-09,0,BA,BA,NA,10,0.021007749,0.021007714
95,158,1.050370452,0.02220376,38,3.257394793,0.620080738,0.034959583,-2.656396161,16.01761029,3.057889553,17.35094362,5.32819808,-6.008805145,12,-11.33700323,22.67400645,5.96E-06,SS,SS,NA,15,0.006235113,0.019508107
96,159,0.996797258,0.053831477,27,1.806131068,0.553565863,0.05190645,-0.150199289,-2.424837124,-40.15019929,9.575162876,4.075099645,3.212418562,4,-0.862681083,1.725362166,0.211014535,BA,BA,NA,17,0.004317357,0.004861507
97,160,0.816713141,0.052046339,31,1.05672616,0.567493323,0.051859815,-11.27854425,-8.250469737,Inf,-2.250469737,9.639272126,6.125234868,5,-3.514037257,7.028074515,0.014888228,SS,BA,NA,12.5,0.002555759,0.00399785
98,161,1.548284089,0.006286582,12,1.945484459,1.143274139,0.006553501,-14.20881831,-8.514348028,25.79118169,-4.514348028,11.10440916,6.257174014,6,-4.847235142,9.694470283,0.003925026,SS,BA,NA,1.5,0.000340073,0.000714177
99,162,1.393069022,0.007495404,12,2.083856989,0.984496197,0.007938901,-11.44190627,-6.918451502,28.55809373,-2.918451502,9.720953135,5.459225751,6,-4.261727384,8.523454767,0.007048964,SS,BA,NA,1.5,0.00037017,0.000793631
100,163,1.725714369,0.008498082,12,2.442540887,1.313229246,0.009286512,-16.58643308,-6.358847396,23.41356692,-2.358847396,12.29321654,5.179423698,6,-7.113792841,14.22758568,0.000406901,SS,BA,NA,1.5,0.000338121,0.001808656
101,166,0.701907507,0.029852137,33.67160125,0,0.701905905,0.014926095,-7.238595517,-11.23859473,Inf,-5.238594726,7.619297758,7.619297363,5,-3.96E-07,7.91E-07,0.499999802,BA,BA,NA,9.5,0.000763425,0.00076343
102,170,1.34485022,0.226033983,19.5,2.285747669,1.043468354,0.258707158,8.34244944,6.772858908,Inf,12.77285891,-0.17122472,-1.386429454,5,-1.215204734,2.430409468,0.148324637,BA,BA,NA,4,0.12922308,0.151966583
103,171,1.328040259,0.220327081,19.5,2.301962462,1.026809679,0.251967672,7.099605273,5.882093628,Inf,11.88209363,0.450197363,-0.941046814,5,-1.391244177,2.782488355,0.124382802,BA,BA,NA,4,0.103247705,0.128941037
104,174,0.625905501,0.022509886,34.51637007,1.28014862,0.432566674,0.022001339,-12.01738164,-12.94138089,Inf,-6.941380892,10.00869082,8.470690446,5,-1.538000375,3.076000751,0.107405106,BA,BA,NA,17,0.000599664,0.000828499
105,180,0.702069699,0.112613268,35.09039115,1.317839057,0.388312982,0.11085764,-53.10328935,-7.054066101,-93.10328935,4.945933899,30.55164468,5.52703305,4,-25.02461163,50.04922325,6.78E-12,BA,BA,NA,20,1.07E-05,0.006278075
106,181,0.62209869,0.123817204,36.50526248,2.777555027,0.392310712,0.134123918,-50.7895462,-3.554272339,-90.7895462,8.445727661,29.3947731,3.77713617,4,-25.61763693,51.23527386,3.74E-12,BA,BA,NA,20,1.74E-05,0.012425484
107,186,0.602862176,0.092718895,164.1020103,3.78273805,0.602939624,0.092708761,-13.20445324,-17.20434132,-53.20445324,-5.204341321,10.60222662,10.60217066,4,-5.60E-05,0.000111922,0.49997202,BA,BA,NA,20,0.001748475,0.001749197
108,187,0.678961313,0.020745599,29.339869,3.149939692,0.574060339,0.022114265,-17.25588319,-11.24489641,22.74411681,-7.244896409,12.62794159,7.622448204,6,-5.005493388,10.01098678,0.003350517,SS,BA,NA,10,0.000668992,0.001854034
109,188,1.389379379,0.033515823,29,2.489645746,0.9904808,0.0363648,-7.829086929,-3.714175,32.17091307,0.2858252,7.914543465,3.714175,6,-6.537324492,13.07464898,0.000724179,BA,BA,5,17,0.003048364,0.020909889
